"Feeling","Frequency","type","individual"
"nervous",59,"Neg","personal"
"excited",54,"Pos","personal"
"curious",33,"Pos","personal"
"anxious",25,"Neg","personal"
"interested",15,"Pos","personal"
"nervous",25,"Neg","classmate"
"excited",23,"Pos","classmate"
"curious",9,"Pos","classmate"
"anxious",8,"Neg","classmate"
"worried",5,"Neg","classmate"
"excited",43,"Pos","instructor"
"happy",7,"Pos","instructor"
"interesting",4,"Pos","instructor"
"prepared",4,"Pos","instructor"
"tired",4,"Neg","instructor"
